# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
engage.cloud.microsoft / referral,04,3,3,0,8,1,15,0,0
erp.dentsusoken.com / referral,04,3,2,2,29,0.5,21,0,0
eventvestor.com / referral,04,3,2,1,6.666666666666667,1.6666666666666667,19,0,0
firsthd.sharepoint.com / referral,04,3,0,3,677,10,274,4,0.6666666666666666
foodlink-invoice.transprint.spa-cloud.com / referral,04,3,2,1,1.6666666666666667,0.3333333333333333,11,0,0
fujifilm.com / referral,04,3,3,0,24.333333333333332,1,13,0,0
fujisash.transprint.spa-cloud.com / referral,04,3,1,2,5.666666666666667,0.3333333333333333,17,2,0.3333333333333333
google / video,04,3,3,0,0.3333333333333333,0,10,0,0
grpportal.jrg.jregroup.ne.jp / referral,04,3,2,3,79.66666666666667,1.6666666666666667,49,0,0
h2o.transprint.spa-cloud.com / referral,04,3,3,0,37,0.3333333333333333,15,0,0
hankyu-hanshin.transprint.spa-cloud.com / referral,04,3,3,0,7.666666666666667,0.6666666666666666,12,0,0
hfg.transprint.spa-cloud.com / referral,04,3,3,1,19,1,16,0,0
hitachigroup.sharepoint.com / referral,04,3,2,1,275.6666666666667,2,68,0,0
hometrade.nomura.co.jp / referral,04,3,3,1,97.66666666666667,2,33,0,0
inotessso.d0700.local / referral,04,3,3,0,23.333333333333332,1,29,0,0
itochufsm.transprint.spa-cloud.com / referral,04,3,2,0,1.5,0,11,0,0
its.transprint.spa-cloud.com / referral,04,3,3,0,6.666666666666667,0.6666666666666666,14,0,0
j-pail.transprint.spa-cloud.com / referral,04,3,3,0,50.333333333333336,0.6666666666666666,12,0,0
jb-honshi-oguchitahindo-waribiki.transprint.spa-cloud.com / referral,04,3,2,1,5,0.3333333333333333,11,0,0
