# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20230401
# 終了日: 20240331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
sp-web.search.auone.jp / referral,03,11,11,1,29.636363636363637,0.45454545454545453,46,0,0
ydn / display,12,11,11,0,0.09090909090909091,0.09090909090909091,35,0,0
WA / product_MB,05,10,0,9,55.44444444444444,0.8888888888888888,63,0,0
WA / product_MB,08,10,0,9,67.88888888888889,0.6666666666666666,71,0,0
bi.lakeel.com / referral,02,10,9,2,64.6,1,51,0,0
bi.lakeel.com / referral,03,10,9,2,109.8,1.1,68,0,0
cn.bing.com / referral,01,10,10,2,52.6,0.7,47,0,0
duckduckgo / organic,05,10,8,1,47.3,0.6,47,0,0
duckduckgo / organic,12,10,7,3,79.8,0.9,58,0,0
hitachigroup.okta.com / referral,01,10,8,2,105.7,0.8,44,0,0
kids.yahoo.co.jp / referral,05,10,10,0,27.1,0.5,40,0,0
nikkeibp / external,10,10,0,8,113.5,1,53,0,0
qiita.com / referral,10,10,6,5,92.2,1,91,0,0
qiita.com / referral,12,10,7,5,23.3,0.9,57,0,0
sp-web.search.auone.jp / referral,10,10,10,1,25.9,0.5,39,0,0
bi.lakeel.com / referral,01,9,9,3,69.66666666666667,0.8888888888888888,72,0,0
duckduckgo / organic,06,9,9,1,62.888888888888886,0.7777777777777778,40,0,0
duckduckgo / organic,10,9,7,4,78.77777777777777,0.7777777777777778,54,0,0
edgeservices.bing.com / referral,07,9,9,5,63.77777777777778,1,51,0,0
edgeservices.bing.com / referral,10,9,7,5,53.77777777777778,0.7777777777777778,43,0,0
eloquaemail / email,10,9,8,0,28.5,0.875,35,0,0
kids.yahoo.co.jp / referral,01,9,9,1,68.11111111111111,0.6666666666666666,41,0,0
m.facebook.com / referral,08,9,8,0,8.625,0.625,33,0,0
notepm.jp / referral,02,9,6,2,68.75,1.375,57,0,0
notepm.jp / referral,09,9,7,6,82.44444444444444,1.3333333333333333,85,0,0
prtimes.jp / referral,07,9,5,3,90.88888888888889,0.8888888888888888,52,0,0
qiita.com / referral,03,9,7,4,152.375,0.75,49,0,0
qiita.com / referral,11,9,7,4,55.55555555555556,0.8888888888888888,68,0,0
xc-times.com / referral,06,9,9,3,89.22222222222223,1,70,0,0
ydn / display,01,9,8,0,1.75,0,30,0,0
WA / product_MB,10,8,0,8,144.125,0.875,41,0,0
aspicjapan.org / referral,04,8,8,3,148.75,1.25,61,0,0
cn.bing.com / referral,03,8,8,3,31.125,0.875,49,0,0
cn.bing.com / referral,08,8,7,3,43.25,1.125,69,0,0
cn.bing.com / referral,11,8,6,4,89.125,1,63,0,0
duckduckgo / organic,09,8,6,3,30,0.625,53,0,0
ecosia.org / organic,07,8,5,4,65.625,0.75,41,0,0
edgeservices.bing.com / referral,11,8,6,2,79.5,0.875,35,0,0
fitco.jp / referral,10,8,8,0,26.25,0.5,32,0,0
grmk / display,08,8,7,1,1.625,0.25,28,0,0
kabutan.jp / referral,07,8,0,2,40.125,0.125,25,0,0
kids.yahoo.co.jp / referral,03,8,8,0,209.375,0.875,32,0,0
notepm.jp / referral,07,8,7,2,169.71428571428572,1.2857142857142858,71,0,0
qiita.com / referral,01,8,5,4,12.875,0.625,35,0,0
qiita.com / referral,04,8,6,3,88.5,0.875,76,0,0
qiita.com / referral,09,8,8,4,181.875,1.5,92,0,0
reurl.cc / referral,06,8,8,2,149.125,0.625,36,2,0.25
smaregi.jp / referral,04,8,8,1,101.75,1,86,0,0
sp-web.search.auone.jp / referral,06,8,8,0,64.75,0.75,34,1,0.125
sp-web.search.auone.jp / referral,09,8,8,1,39,0.625,41,0,0
websearch.rakuten.co.jp / referral,05,8,8,1,81.875,0.75,38,0,0
websearch.rakuten.co.jp / referral,10,8,7,0,155.14285714285714,0.8571428571428571,31,0,0
youtube.com / referral,08,8,5,3,79,1,78,0,0
WA / product_MB,06,7,0,7,280.7142857142857,1,48,1,0.14285714285714285
WA / product_MB,09,7,0,6,96.83333333333333,1.5,47,0,0
WA / product_MB,11,7,0,6,26.5,1.1666666666666667,30,0,0
active.nikkeibp.co.jp / referral,02,7,0,4,28,1,30,0,0
bing / cpc,04,7,0,5,35.4,0.8,23,0,0
e-sales.jp / referral,06,7,8,2,139.28571428571428,1.1428571428571428,80,0,0
edgeservices.bing.com / referral,12,7,6,2,109.14285714285714,0.8571428571428571,34,0,0
ferret-plus.com / referral,06,7,1,4,203.33333333333334,0.8333333333333334,108,0,0
ferret-plus.com / referral,08,7,2,5,99.57142857142857,0.5714285714285714,55,0,0
gdsa / cpc,12,7,6,2,45.714285714285715,1,39,0,0
goo.ne / organic,08,7,6,1,74.57142857142857,0.7142857142857143,28,0,0
ja.wikipedia.org / referral,06,7,0,2,86.5,0.16666666666666666,31,0,0
ja.wikipedia.org / referral,10,7,0,5,84.16666666666667,1.3333333333333333,59,0,0
kids.yahoo.co.jp / referral,08,7,7,0,237,0.7142857142857143,30,0,0
login.microsoftonline.com / referral,10,7,5,3,87.71428571428571,1.1428571428571428,46,0,0
microsoft / cpc,11,7,0,5,25.2,1.4,28,0,0
mind.co.jp / referral,05,7,7,3,3.5714285714285716,0.42857142857142855,32,0,0
otsuka-shokai.co.jp / referral,12,7,7,0,9,0.5714285714285714,30,0,0
product-senses.mazrica.com / referral,06,7,7,0,47.714285714285715,0.8571428571428571,49,0,0
